ID,timestamp,Blink Rate,Yawning Rate,PERCLOS,SDLP,Steering Entropy,Lane Keeping Ratio,Lane Departure Frequency,SRR,SAV,CF,SF,LF,fan,music,vibration,reason
1,2025-06-12T20:10:08.541210,10.11,0,12.17,16.32,0.95,0.54,1.6,11.75,2.68,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
2,2025-06-12T20:10:08.541246,11.79,0,9.16,1.26,0.93,0.67,1.6,5.91,3.09,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
3,2025-06-12T20:10:08.541258,10.72,0,3.7,17.31,0.51,0.41,0.55,5.43,2.05,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
4,2025-06-12T20:10:08.541267,13.58,0,8.11,18.54,0.34,0.51,1.55,14.43,2.05,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
5,2025-06-12T20:10:08.541277,12.34,0,9.52,10.43,0.84,0.47,2.04,12.95,2.13,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
6,2025-06-12T20:10:08.541289,11.14,0,14.97,8.73,0.56,0.31,2.3,7.09,3.84,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
7,2025-06-12T20:10:08.541298,14.07,0,5.78,11.98,0.97,0.36,1.2,6.94,1.81,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
8,2025-06-12T20:10:08.541309,11.21,0,1.45,3.22,0.21,0.69,1.44,6.05,1.2,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
9,2025-06-12T20:10:08.541320,11.41,0,14.53,4.44,0.3,0.15,1.66,11.4,3.74,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
10,2025-06-12T20:10:08.541329,10.15,0,6.5,2.58,0.45,0.33,0.96,3.55,3.02,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
11,2025-06-12T20:10:08.541338,10.47,0,10.58,16.04,0.78,0.54,0.4,4.63,3.75,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
12,2025-06-12T20:10:08.541348,14.76,0,3.77,6.83,0.41,0.47,2.12,10.85,1.52,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
13,2025-06-12T20:10:08.541356,14.33,0,4.54,7.77,0.28,0.6,1.31,0.88,2.62,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
14,2025-06-12T20:10:08.541364,12.76,0,1.04,14.95,0.36,0.67,0.48,14.2,2.1,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
15,2025-06-12T20:10:08.541378,13.29,0,13.37,0.52,0.63,0.07,1.87,12.5,1.77,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
16,2025-06-12T20:10:08.541386,10.76,0,6.51,4.95,0.14,0.35,0.43,9.23,1.64,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
17,2025-06-12T20:10:08.541395,10.64,0,5.92,18.5,0.15,0.37,2.03,13.56,1.38,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
18,2025-06-12T20:10:08.541403,13.3,0,13.04,9.42,0.44,0.69,1.77,7.95,2.57,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
19,2025-06-12T20:10:08.541411,13.76,0,9.4,13.1,0.83,0.08,0.45,14.08,1.92,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
20,2025-06-12T20:10:08.541419,14.44,0,3.06,17.3,0.19,0.43,0.3,7.52,1.11,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
21,2025-06-12T20:10:08.541427,12.17,0,5.89,3.39,0.55,0.56,1.83,0.37,3.67,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
22,2025-06-12T20:10:08.541437,10.67,0,13.63,3.51,1,0.47,1.09,0.17,3.06,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
23,2025-06-12T20:10:08.541445,13.59,0,14.04,3.85,0.54,0.47,0.59,3.86,2.89,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
24,2025-06-12T20:10:08.541453,10.64,0,6.09,4.11,0.64,0.3,2.11,8.45,2.5,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
25,2025-06-12T20:10:08.541463,12.01,0,3.04,17.33,0.57,0.4,2.44,8.63,2.47,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
26,2025-06-12T20:10:08.541471,11.83,0,10.89,17.97,0.92,0.39,0.73,2.24,3.98,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
27,2025-06-12T20:10:08.541479,11.15,0,6.89,13.21,0.59,0.64,0.01,10.89,3.53,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
28,2025-06-12T20:10:08.541487,10.74,0,11.79,10.06,0.51,0.35,1.11,11.91,2.34,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
29,2025-06-12T20:10:08.541495,10.22,0,7.05,19.64,0.52,0.69,1.94,3.88,3.2,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
30,2025-06-12T20:10:08.541506,10.5,0,14.53,11.84,0.76,0.22,0.15,14.39,1.83,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
31,2025-06-12T20:10:08.541514,12.05,0,13.76,12.19,0.16,0.64,0.6,8.13,1.73,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
32,2025-06-12T20:10:08.541523,13.93,0,14.88,15.53,0.78,0.29,0.74,14.4,1.92,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
33,2025-06-12T20:10:08.541532,12.16,0,3.04,5.29,0.59,0.35,0.36,0.42,1.79,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
34,2025-06-12T20:10:08.541541,11.24,0,2.6,11.54,0.84,0.15,0.58,4.11,1.01,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
35,2025-06-12T20:10:08.541567,14.44,0,8.9,12.2,0.59,0.25,0.61,11.95,3.64,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
36,2025-06-12T20:10:08.541577,12.66,0,0.27,10.43,0.56,0.16,2.44,9.07,3.38,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
37,2025-06-12T20:10:08.541585,13.79,0,0.68,3.25,0.34,0.49,0.6,8.45,1.9,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
38,2025-06-12T20:10:08.541594,14.24,0,12.69,11.5,0.9,0.39,0.29,13.35,2.16,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
39,2025-06-12T20:10:08.541602,14.56,0,1.92,10.61,0.2,0.15,1.92,13.4,1.73,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
40,2025-06-12T20:10:08.541610,10.77,0,3.5,8.68,0.78,0.29,1.93,1.19,1.01,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
41,2025-06-12T20:10:08.541618,14.09,0,4.91,10.53,0.26,0.46,1.54,7.66,1.47,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
42,2025-06-12T20:10:08.541628,11.41,0,14.09,11.24,0.48,0.3,0.38,10.76,2.29,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
43,2025-06-12T20:10:08.541636,12.42,0,6.92,8.56,0.42,0.61,0.29,7.15,3.75,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
44,2025-06-12T20:10:08.541647,14.63,0,14.48,19.44,0.07,0.1,0.28,3.9,3.3,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
45,2025-06-12T20:10:08.541657,14.06,0,0.05,17.07,0.06,0.51,1.89,10.1,2.48,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
46,2025-06-12T20:10:08.541665,11.72,0,10.17,11.9,0.75,0.07,2.36,0.28,1.22,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
47,2025-06-12T20:10:08.541673,10.5,0,9.36,19,0.29,0.57,0.99,13.43,1.98,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
48,2025-06-12T20:10:08.541681,10.87,0,2.86,6.96,0.39,0.68,0.84,7.41,1.22,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
49,2025-06-12T20:10:08.541688,14.17,0,14.81,3.95,0.88,0.41,2.49,0.34,1.35,Low,Low,Low,off,off,off,No signs of fatigue detected. No intervention required.
